BC,s_1,s_2,s_3,average,standard deviation
0,1.0,1.0,1.0,1.0,0.0
1,1.000795809919554,1.0010850756535543,0.9984926261132183,1.000124503895442,0.0011599389318131196
10000,0.9369448098209081,0.8817806573191274,0.8726590760243506,0.8971281810547954,0.028399809342706684
3,0.9592104684162787,0.9515538623072877,0.9741726742373887,0.9616456683203184,0.009393271074260084
4,1.0017833536781933,1.0010517740418237,1.0003347432300929,1.0010566236500367,0.000591402680983259
15000,0.7687763159224685,0.800709045206665,0.7981131823579254,0.7891995144956864,0.014480214223856857
20000,1.0976270977822762,1.1119748517827983,1.1032347682625205,1.1042789059425318,0.005903794194470138
7,0.9663454385916412,0.959781127014709,0.9795736376748027,0.9685667344270509,0.008231503951234629
2000,0.9138920012723866,0.8928749033612762,0.9106151798911043,0.9057940281749223,0.00923263158780252
1000,0.9445168409765994,0.9369042973922452,0.9522640007066343,0.9445617130251597,0.00627065289540997
10,1.006367353066928,1.0088214984051322,1.0070887164106923,1.0074258559609175,0.0010298720446418007
11,1.0043760251896376,1.0051336888943223,1.0039816745168382,1.0044971295335994,0.00047804042930651807
50000,1.0314467259491715,1.0419742278701318,1.030173001146163,1.0345313183218219,0.0052885581290612604
13,1.0020197560135529,1.0032682128840875,1.0009652227671308,1.0020843972215905,0.000941302195199976
14,1.0024550290035896,1.0026827389393898,1.001690927483976,1.0022762318089853,0.0004241845654675136
15,1.0054948872716987,1.0066203038565535,1.0055476185562027,1.0058876032281516,0.000518544633396704
30000,1.0347125137996562,1.0039604177421944,1.0367460909695765,1.025139674170476,0.014998989658588728
17,1.0039618620216668,1.004423788128481,1.003457301113505,1.0039476504212175,0.0003946946201134613
18,1.004936929097067,1.0052019310478213,1.0043418660522958,1.0048269087323947,0.00035963528712113
19,1.0058893607730406,1.0075588104584918,1.0055522236746761,1.006333464968736,0.0008773137153537839
500,0.9568592139731911,0.9586691502496115,0.9585862402459014,0.958038201489568,0.0008343569140395116
5000,0.9799807782698092,0.9770909617652239,0.9631651723669608,0.973412304133998,0.0073412325007821775
22,1.0017502788212882,1.0019076913437783,1.0016682834575767,1.0017754178742144,9.934120655732625e-05
23,1.0045957335618476,1.0058165316090328,1.003764973119491,1.0047257460967904,0.0008425756161652654
24,1.0031723332658464,1.0045101204802556,1.0049440438168884,1.0042088325209968,0.000754020510315246
25,1.0032462098400532,1.002859291373423,1.0020429617049718,1.0027161543061494,0.0005015427423892576
26,0.9597341475908512,0.9515445264330669,0.9745129400930307,0.9619305380389829,0.009504563983135907
40000,1.06448617750255,1.0792827909835263,1.0712300342210714,1.071666334235716,0.006048565168888475
28,1.0035846047924324,1.0038608345759463,1.0027837865815368,1.0034097419833052,0.0004567573003082405
