BC,s
0.0,1
1.0,1.0024874889160063
2.0,1.0028018844050077
3.0,0.999493899172222
4.0,1.0045381806137172
5.0,1.001167070264987
6.0,0.9978727716230752
7.0,0.9957097196327711
8.0,0.9976780421734374
9.0,0.9915637714439788
10.0,1.002611686162914
11.0,0.9915665149633937
12.0,1.0044767084918373
13.0,0.9973409162731733
14.0,0.9966964796010629
15.0,0.9953368787652576
16.0,1.0031671677771083
17.0,1.0123115945371572
18.0,0.9994142149136201
500.0,1.0624396471592903
1000.0,1.0921857986078827
1500.0,1.1554458682409174
2000.0,1.1473667420614242
5000.0,1.1566593631185094
10000.0,1.1928770918734082
15000.0,1.2273516231273895
30000.0,1.2433611780398672
40000.0,1.2899184479906023
50000.0,1.3232519672440326
