BC,s_1,s_2,average,standard deviation
ref6,1.0,1.0,1.0,0.0
ref7,1.0038078131748376,1.004108874305839,1.0039583437403383,0.0001505305655007394
ref8,0.9902304123724215,0.9908454396094083,0.9905379259909148,0.00030751361849340464
ref9,1.0117459635697232,1.010372440680958,1.0110592021253406,0.000686761444382622
ref10,1.0037534589442527,1.0039284640106005,1.0038409614774266,8.750253317391099e-05
P2_A5,1.0596457165639677,1.0541530864207307,1.0568994014923492,0.002746315071618488
P1_A5,1.0302047250115283,1.0256352472361134,1.0279199861238209,0.002284738887707416
P1_B5,0.9895966348489085,0.9851739141361848,0.9873852744925466,0.0022113603563618245
P2_C5,0.9497269464017299,0.9456685732379397,0.9476977598198348,0.002029186581895104
P1_C5,1.0100320753782903,1.0064272292101843,1.0082296522942373,0.0018024230840529842
P2_E5,0.9792320784585967,0.9763643113523195,0.9777981949054582,0.0014338835531386152
P1_E5,0.9941602328175523,0.9900599350334819,0.992110083925517,0.0020501488920351973
P2_F5,0.9929120659413068,0.9884140086524615,0.9906630372968841,0.0022490286444226126
P2_G5,0.9968035676543943,0.9920422756297562,0.9944229216420752,0.002380646012319021
P2_H5,1.0304540476558457,1.0262007807124744,1.02832741418416,0.002126633471685624
P2_A6,1.0020873299601083,0.9949463223268077,0.998516826143458,0.0035705038166503056
P1_A6,0.9809073578731687,0.9769052406561514,0.97890629926466,0.002001058608508688
P2_B6,1.0160056795660417,1.01254117302948,1.0142734262977608,0.001732253268280859
P1_B6,0.9757961419168059,0.9718477701266136,0.9738219560217097,0.0019741858950961255
P1_C6,0.9983590718729403,0.9953525807525709,0.9968558263127556,0.0015032455601846628
P2_D6,1.0159877862589666,1.011396609514829,1.0136921978868978,0.0022955883720687797
P1_D6,0.4380764293714308,0.43616488856474916,0.43712065896809,0.0009557704033408276
P1_E6,0.9886607617110529,0.9834394980536555,0.9860501298823542,0.002610631828698695
P1_F6,1.0160781955749265,1.012867476650385,1.0144728361126556,0.0016053594622708056
P2_G6,1.3131288741872416,1.3046998089072075,1.3089143415472244,0.004214532640017032
P1_G6,1.035917698513415,1.0314687242056941,1.0336932113595547,0.002224487153860477
P1_H6,1.0061560971326584,1.0005045116874722,1.0033303044100652,0.00282579272259309
P4_A5,1.0026867534270285,0.998304240502191,1.0004954969646098,0.0021912564624187447
P5_B5,1.0522193484345812,1.047298243032671,1.049758795733626,0.002460552700955132
P5_C5,0.5583818792152978,0.5625816495968468,0.5604817644060722,0.0020998851907744753
P4_C5,1.0488110978365834,1.0437219755678404,1.046266536702212,0.0025445611343715147
P5_D5,1.0248803929214714,1.0207314253834634,1.0228059091524675,0.0020744837690039875
P5_F5,0.9461622925823306,0.9411315428685691,0.9436469177254498,0.0025153748568807477
P5_G5,1.0113215278668013,1.0075266725839378,1.0094241002253694,0.0018974276414317481
P5_H5,1.255596532535504,0.9936891552390776,1.1246428438872909,0.13095368864821322
P5_A6,0.9985123350293192,1.013606724623887,1.006059529826603,0.007547194797283829
P4_A6,1.0161745987843556,1.0257948039157603,1.020984701350058,0.004810102565702357
P4_B6,1.0313346304291329,0.9911455398229986,1.0112400851260657,0.020094545303067146
P5_C6,0.9956064945639188,0.9575821923120836,0.9765943434380012,0.019012151125917587
P5_D6,0.9583210881762915,0.6157727270888788,0.7870469076325851,0.17127418054370636
P4_D6,0.6265393314056299,1.0012428111659855,0.8138910712858076,0.18735173988017778
P5_E6,1.0048055781361047,1.0015819254509737,1.0031937517935392,0.0016118263425655144
P4_E6,1.005745500117771,1.2661545880561016,1.1359500440869363,0.13020454396916525
P5_G6,1.2778637908883563,0.9682182545506449,1.1230410227195007,0.1548227681688557
P4_G6,0.9707619598171283,1.0211100451338435,0.995936002475486,0.025174042658357598
P5_H6,1.0194776708382671,1.0122185786837534,1.0158481247610103,0.003629546077256851
P4_H6,1.018885465143608,1.0180925274726016,1.0184889963081047,0.0003964688355031498
P8_A5,1.0230930065465886,1.4359167121132486,1.2295048593299187,0.20641185278332996
P7_A5,1.4360228100317403,1.0202471908148505,1.2281350004232954,0.20788780960844488
P8_B5,1.0233590559505983,1.0186309282113857,1.020994992080992,0.002364063869606303
P7_C5,1.0235746019942469,0.9806689368111307,1.0021217694026887,0.021452832591558113
P8_D5,0.9845234928784731,1.0498795736194566,1.0172015332489648,0.03267804037049177
P7_D5,1.0564440051897621,0.9907306116491323,1.0235873084194473,0.032856696770314886
P8_G5,0.9924915054969141,0.5243211188092667,0.7584063121530904,0.23408519334382372
P7_G5,0.5238463750838156,0.9777442540079625,0.750795314545889,0.22694893946207345
P7_H5,0.9806297767029448,1.0291595239304252,1.0048946503166851,0.02426487361374019
P8_A6,1.0334533220678463,1.0354811446880148,1.0344672333779306,0.0010139113100842145
P8_B6,1.0412095439899565,0.5033524128965924,0.7722809784432745,0.26892856554668204
P7_B6,0.5078761382312337,1.0475647895920253,0.7777204639116295,0.2698443256803958
P8_C6,1.0526351958850921,1.0217164465988544,1.0371758212419733,0.015459374643118862
P7_C6,1.0188693170213468,1.0000686477994958,1.0094689824104213,0.009400334610925487
P8_D6,1.0046529436983804,0.9996743639236433,1.002163653811012,0.002489289887368573
P7_D6,1.0043646506351185,0.5762078389857801,0.7902862448104493,0.2140784058246692
P8_E6,0.5808083662726279,0.9448408388950909,0.7628246025838594,0.18201623631123148
P7_E6,0.9487011038652675,1.0055883336959517,0.9771447187806096,0.028443614915342086
P8_F6,1.011504972027722,0.9723174986081408,0.9919112353179314,0.019593736709790643
P7_F6,0.975904218830446,0.9602790826276149,0.9680916507290305,0.007812568101415562
P8_G6,0.9581472518835177,1.004865588363282,0.9815064201233998,0.023359168239882155
P7_H6,1.008736380456742,1.047763182845639,1.0282497816511906,0.019513401194448554
P11_A5,0.6513239286162907,0.9717357756761835,0.8115298521462371,0.1602059235299464
P11_B5,1.0516970057290225,1.005624317565457,1.0286606616472396,0.02303634408178279
P11_C5,0.9764183971886221,0.9829010028833702,0.9796597000359961,0.0032413028473740613
P11_D5,1.0103518860298852,0.9813248208425287,0.995838353436207,0.014513532593678269
P10_D5,0.9873096757282414,1.404537267038668,1.1959234713834546,0.20861379565521332
P11_E5,0.9861192701225078,0.9713149202510957,0.9787170951868017,0.007402174935706052
P11_F5,1.4085253182747555,0.9634374388492181,1.1859813785619868,0.2225439397127687
P11_H5,0.9751028752929268,1.0896686806637834,1.0323857779783552,0.057282902685428294
P11_B6,0.9655891923324303,0.9456409562223576,0.9556150742773939,0.009974118055036396
P11_C6,1.0951095209224135,0.9914462727325098,1.0432778968274616,0.051831624094951845
P10_C6,0.9483940748719313,1.283881182485718,1.1161376286788247,0.16774355380689332
P11_D6,0.9956772008495963,0.9982091640804434,0.9969431824650199,0.001265981615423517
P11_E6,1.2979196262659538,1.0287116661005427,1.1633156461832481,0.13460398008270558
P11_F6,1.0028364695381584,1.0084893319019357,1.005662900720047,0.0028264311818886334
P11_G6,1.0326797351293582,0.940647698883688,0.9866637170065231,0.04601601812283507
P11_H6,1.0132357301658816,1.0461063909684916,1.0296710605671866,0.01643533040130496
