BC,s_1,s_2,average,standard deviation
ref1,1.0,1.0,1.0,0.0
ref2,1.01015351439252,1.0089521438618219,1.009552829127171,0.0006006852653490657
ref3,1.0074275387560638,1.0071747290292807,1.0073011338926723,0.00012640486339154933
ref4,0.9966897059057047,0.9968173857816078,0.9967535458436563,6.383993795155973e-05
ref5,1.0140857057352584,1.0130513085731252,1.0135685071541918,0.0005171985810665802
P1_A1,1.012644349654648,1.010096666192108,1.011370507923378,0.0012738417312699868
P2_B1,1.0092764005245993,1.0127563568923088,1.011016378708454,0.0017399781838547401
P1_C1,0.9724730059033081,0.9729302063961064,0.9727016061497072,0.00022860024639914656
P2_C1,1.0571927807430084,1.056709979727584,1.0569513802352963,0.00024140050771215282
P1_D1,1.0235554072077255,1.019775152993077,1.0216652801004011,0.0018901271073242798
P2_D1,0.9894075000863805,0.988722961014063,0.9890652305502217,0.0003422695361587347
P1_E1,1.0531740140114292,1.0479974075422085,1.0505857107768188,0.002588303234610345
P2_E1,1.043520357116744,1.037872756585263,1.0406965568510036,0.0028238002657404726
P1_F1,0.9807506382353517,0.9774960886163541,0.9791233634258529,0.0016272748094988132
P2_F1,1.0321549048650354,1.0295205850509155,1.0308377449579753,0.0013171599070599393
P1_G1,1.3187401856356478,1.2979933264616264,1.308366756048637,0.010373429587010707
P2_G1,1.028540732421536,1.0258280668110964,1.0271843996163161,0.0013563328052198509
P1_H1,1.0353110528472025,1.0311711542836846,1.0332411035654436,0.002069949281758965
P2_H1,1.0060223318288581,1.006304586610163,1.0061634592195106,0.00014112739065241797
P1_A2,1.0504451009648617,1.0447695493418778,1.0476073251533697,0.002837775811491916
P2_A2,0.9826063031369051,0.9802699671057911,0.9814381351213481,0.001168168015557025
P1_B2,1.0134689007423359,1.0122511003104773,1.0128600005264066,0.0006089002159292978
P2_B2,1.0197120671024098,1.0170112911724656,1.0183616791374377,0.0013503879649721107
P1_C2,1.030486072550244,1.0278144830259814,1.0291502777881127,0.0013357947621313038
P2_C2,0.9826073508315301,0.9823695462440324,0.9824884485377812,0.00011890229374883488
P1_D2,0.9658048725031746,0.9636187015049292,0.9647117870040519,0.0010930854991226813
P2_D2,1.034081753185272,1.0317440892507463,1.032912921218009,0.0011688319672628067
P1_E2,0.9940282264681098,0.9925333012080464,0.9932807638380781,0.0007474626300317255
P2_E2,0.9995294084332127,0.9984101059334008,0.9989697571833067,0.0005596512499059236
P1_F2,1.0014976052440445,0.9991457962928666,1.0003217007684555,0.0011759044755889625
P2_F2,0.9889019388900174,0.9863821695394819,0.9876420542147497,0.001259884675267775
P1_G2,0.9548024899148749,0.9445355505880091,0.949669020251442,0.005133469663432921
P2_G2,1.0096545389182612,1.007344337841448,1.0084994383798547,0.001155100538406617
P1_H2,0.9958214400799182,0.9948291455586278,0.9953252928192731,0.00049614726064523
P2_H2,0.9907128994381945,0.9898922543656463,0.9903025769019205,0.0004103225362740992
