BC,s
0.0,1
1.0,[1.00583769]
2.0,[1.06558297]
3.0,[1.00665163]
4.0,[1.06552136]
5.0,[1.01054562]
6.0,[1.00753576]
7.0,[1.00528656]
8.0,[1.00590203]
9.0,[0.99975202]
10.0,[1.01002333]
11.0,[1.00293089]
12.0,[1.01160418]
13.0,[1.00227407]
14.0,[1.00141821]
15.0,[1.00748542]
16.0,[1.01188946]
17.0,[1.06490288]
18.0,[1.00894841]
500.0,[1.01173586]
1000.0,[1.0577901]
1500.0,[1.11170368]
2000.0,[1.11535506]
5000.0,[1.11962725]
10000.0,[1.14419285]
15000.0,[1.18923563]
30000.0,[1.18487415]
40000.0,[1.23137757]
50000.0,[1.25645934]
