BC,s_1,s_2,average,standard deviation
ref1,1.0,1.0,1.0,0.0
ref2,0.9542004089353258,0.960668522696827,0.9574344658160764,0.0032340568807506243
ref3,0.997744467295155,1.0017609142055266,0.9997526907503408,0.002008223455185809
ref4,0.9430645911849862,0.9519284108166808,0.9474965010008335,0.00443190981584729
ref5,0.9776254296965294,0.9825652142376458,0.9800953219670876,0.0024698922705581605
P1_H4,0.9233470257958066,0.9312183587855345,0.9272826922906705,0.003935666494863932
P2_H4,0.9133009761806374,0.9098253295723505,0.911563152876494,0.0017378233041434599
P1_G4,0.9250661299520473,0.9346341320848095,0.9298501310184284,0.004784001066381105
P2_G4,0.9704213950364717,1.298827536188312,1.1346244656123918,0.1642030705759201
P1_F4,0.992666727637667,0.9933812411968042,0.9930239844172355,0.0003572567795686043
P2_F4,0.8016452001869078,0.8143899099056274,0.8080175550462676,0.00637235485935983
P1_E4,0.8065409141713425,0.8301794584777351,0.8183601863245389,0.01181927215319628
P2_E4,0.9479164468589862,0.9531225146637659,0.950519480761376,0.0026030339023898064
P1_D4,0.36886454787099854,0.3332678237084354,0.35106618578971693,0.017798362081281577
P2_D4,1.0813361490202427,1.4670727319930401,1.2742044405066415,0.19286829148639872
P1_C4,0.959621991865714,0.9634883637108826,0.9615551777882982,0.0019331859225843462
P2_C4,0.9389918975937273,0.9449017601550649,0.9419468288743961,0.0029549312806688155
P1_B4,0.9797903088484279,0.9860547651950203,0.982922537021724,0.0031322281732962254
P2_B4,0.9900962798142492,0.9970778266427072,0.9935870532284782,0.003490773414228987
P1_A4,0.9967839784077952,1.0067716826649686,1.001777830536382,0.004993852128586718
P2_A4,1.0025615226229099,1.00644831729938,1.0045049199611449,0.001943397338235009
P1_H3,1.025538557808991,1.0339403314299545,1.0297394446194728,0.0042008868104816965
P2_H3,0.9064896562288103,0.9135627479431554,0.9100262020859828,0.003536545857172557
P1_G3,0.9560078443556411,0.9655027251210243,0.9607552847383327,0.004747440382691592
P2_G3,0.9541188632105125,0.9653642468318708,0.9597415550211916,0.005622691810679148
P1_F3,0.7717394435295895,0.7894813608147057,0.7806104021721476,0.008870958642558102
P2_F3,0.9535883318870575,0.9598302490757158,0.9567092904813866,0.0031209585943291485
