BC,s_1,s_2,average,standard deviation
ref6,1.0,1.0,1.0,0.0
ref7,1.0183849019698366,1.0171662539945558,1.0177755779821962,0.0006093239876403533
ref8,1.0004469224876276,0.9995634335225508,1.0000051780050891,0.0004417444825383643
ref9,1.0018365172310835,1.0014237187088848,1.001630117969984,0.0002063992610993326
ref10,1.0119230954957685,1.0112463869625539,1.0115847412291612,0.0003383542666073325
P3_A7,1.0426165064181367,1.0403074863741766,1.0414619963961567,0.001154510021980082
P3_A5,1.0246710643229726,1.0223530497675248,1.0235120570452487,0.0011590072777238891
P3_B7,1.064839325371828,1.0615318872211401,1.063185606296484,0.0016537190753439512
P3_B5,1.0444456669366458,1.0407949832977827,1.0426203251172144,0.001825341819431503
P3_C7,1.0422604459603593,1.0389231877807743,1.0405918168705668,0.0016686290897924838
P3_C5,1.0237585148988897,1.0213964850035462,1.0225774999512178,0.0011810149476717546
P3_D7,1.0440184777977324,1.0416575678043056,1.042838022801019,0.001180454996713376
P3_D5,1.0529606482819187,1.0490826377689193,1.0510216430254191,0.001939005256499704
P3_E7,1.0715887968901896,1.0684600738828467,1.070024435386518,0.001564361503671452
P3_E5,1.0565960596312898,1.0527622850346987,1.0546791723329942,0.0019168872982955332
P3_F7,1.0523660456889175,1.049843838873031,1.0511049422809742,0.001261103407943276
P3_F5,1.0528251120311358,1.0494348272254859,1.051129969628311,0.0016951424028249784
P3_G7,1.0515808144708358,1.048216404254889,1.0498986093628624,0.0016822051079734557
P3_G5,1.0272924229245046,1.0242038589372418,1.0257481409308733,0.0015442819936314356
P3_H7,1.0577427570932283,1.0542881822744574,1.0560154696838429,0.0017272874093854362
P3_H5,1.0337782816286938,1.0311263790575067,1.0324523303431001,0.0013259512855935407
P3_B8,1.3374984201471576,1.330105599100332,1.3338020096237448,0.003696410523412741
P3_B6,1.0221089751171817,1.0204532797888446,1.0212811274530131,0.0008278476641685462
P3_C6,1.0718396683829634,1.0687428818378486,1.0702912751104061,0.0015483932725574023
P3_D8,0.5181871127558814,0.5375584282115055,0.5278727704836934,0.009685657727812047
P3_D6,1.0277885140081242,1.0251731574783185,1.0264808357432214,0.0013076782649028562
P3_E6,1.0283375148065863,1.02558507107197,1.0269612929392782,0.001376221867308125
P3_F8,1.0252918007896041,1.0236625572943974,1.0244771790420009,0.0008146217476033835
P3_F6,1.021912066870544,1.0209461983482788,1.0214291326094114,0.00048293426113255045
P3_G8,1.0410049980345422,1.3109845998046181,1.17599479891958,0.13498980088503798
P3_G6,1.0405115000605245,1.038184354740902,1.0393479274007134,0.0011635726598112628
P3_H8,0.479018674420278,0.4965687768478028,0.48779372563404044,0.008775051213762403
P3_H6,1.035481716418513,1.034283979548442,1.0348828479834775,0.0005988684350355378
P6_A7,1.019940656968643,1.0168723908502344,1.0184065239094386,0.0015341330592042457
P6_A5,1.0361474465214306,1.0332215889453462,1.0346845177333885,0.001462928788042217
P6_B7,1.0037055763433875,1.0017165273101614,1.0027110518267746,0.0009945245166130823
P6_B5,1.0276091473139009,1.025821433730527,1.0267152905222139,0.0008938567916869644
P6_C7,1.0342189109922724,1.0319075833352267,1.0330632471637495,0.0011556638285228349
P6_D7,1.0562149748564549,1.0542239901653245,1.0552194825108896,0.0009954923455651743
P6_D5,1.0309831812779997,1.0283753435378598,1.0296792624079298,0.0013039188700699755
P6_E7,1.0516015014455589,1.0489626054530663,1.0502820534493127,0.0013194479962462813
P6_E5,1.0485730927292316,1.0444237335592865,1.046498413144259,0.0020746795849725386
P6_F7,1.043127582796144,1.0424447301366242,1.042786156466384,0.0003414263297598641
P6_F5,1.03722161135005,1.0347740083751895,1.0359978098626197,0.0012238014874302872
P6_G7,1.0404844966081306,1.0376479608520692,1.0390662287300998,0.0014182678780306768
P6_G5,1.045392183249469,1.041685760964225,1.0435389721068469,0.0018532111426220466
P6_H7,1.0201103080140612,1.0164497821982132,1.0182800451061373,0.0018302629079239852
P6_H5,0.9865087328082777,0.9854424162903944,0.985975574549336,0.0005331582589416239
P6_A8,1.0301795919139212,1.0291533024305426,1.0296664471722319,0.0005131447416892865
P6_A6,1.0109234355673555,1.0098232261479032,1.0103733308576293,0.0005501047097261624
P6_B8,1.0104842478086107,1.0094974804745098,1.0099908641415603,0.0004933836670504288
P6_B6,1.0426553835874959,1.0387472941248033,1.0407013388561497,0.001954044731346305
P6_C8,1.046476946592184,1.0436518777163108,1.0450644121542474,0.0014125344379365412
P6_C6,1.0538345772694218,1.0505931212225499,1.0522138492459858,0.0016207280234359356
P6_D6,1.039356832510361,1.038452976019733,1.038904904265047,0.0004519282453140372
P6_E8,1.0108198754731474,1.0086864438857543,1.009753159679451,0.0010667157936965488
P6_E6,1.051632892587936,1.0484685367271316,1.0500507146575337,0.0015821779304021621
P6_F8,1.0451663203142356,1.0418800575501457,1.0435231889321908,0.001643131382044971
P6_F6,1.0241788841404873,1.020470543707332,1.0223247139239096,0.001854170216577633
P6_G8,1.062029348139376,1.050875919484732,1.0564526338120541,0.0055767143273220965
P6_G6,0.9900185334310514,0.9880792986170387,0.989048916024045,0.0009696174070063512
P6_H6,1.0297451185879893,1.0564749302529977,1.0431100244204936,0.01336490583250416
P9_A7,1.0585338370879347,1.0302695138010705,1.0444016754445027,0.014132161643432117
P9_A5,1.0326582581549248,0.9673412394089056,0.9999997487819152,0.032658509373009625
P9_B7,0.9695380615536222,0.9548320857625998,0.962185073658111,0.007352987895511198
P9_B5,0.9562805537162347,1.0287520386805953,0.992516296198415,0.03623574248218031
P9_C7,1.0301951338807165,1.0212170698016112,1.025706101841164,0.004489032039552643
P9_C5,1.0236401148871,1.053829448873499,1.0387347818802994,0.015094666993199501
P9_D7,1.0555371057475071,1.0191322464797585,1.0373346761136328,0.018202429633874306
P9_D5,1.0221245062265,1.0597735607597487,1.0409490334931244,0.018824527266624314
P9_E7,1.0623662871956903,1.05297578369815,1.05767103544692,0.004695251748770168
P9_E5,1.0568804174635944,1.0483790016866672,1.0526297095751307,0.004250707888463601
P9_F7,1.0496149014228267,1.0328322158342913,1.041223558628559,0.008391342794267675
P9_F5,1.0347231898356515,1.021647227434359,1.0281852086350054,0.006537981200646192
P9_G7,1.0289066299143925,1.045009218532759,1.0369579242235758,0.008051294309183277
P9_G5,1.0459958689500972,1.0283577344785202,1.0371768017143088,0.008819067235788514
P9_H7,1.0312571180253767,1.037551182091268,1.0344041500583223,0.0031470320329456403
P9_H5,1.0403238463783326,1.3518784188087252,1.196101132593529,0.15577728621519626
P9_A8,1.3608517591394977,1.0213389502378225,1.19109535468866,0.16975640445083762
P9_A6,1.022887630112633,1.0147142038378028,1.018800916975218,0.004086713137415154
P9_B8,1.019490481323791,1.0136607813332787,1.0165756313285348,0.0029148499952561524
P9_B6,1.015981903122583,1.0353843451509657,1.0256831241367743,0.009701221014191352
P9_C8,1.0383385561318699,1.0491148282693068,1.0437266922005883,0.005388136068718463
P9_C6,1.052667499974556,1.0301412914917787,1.0414043957331673,0.011263104241388655
P9_D8,1.0326220326535889,1.0220705698953942,1.0273463012744917,0.005275731379097315
P9_D6,1.024334813408915,1.0475971949188034,1.0359660041638592,0.011631190754944232
P9_E8,1.0513096073509485,1.0426279366336322,1.0469687719922902,0.004340835358658146
P9_E6,1.0445732284047649,1.0552799701149835,1.0499265992598743,0.005353370855109341
P9_F8,1.0583256899979943,1.0331117831284176,1.045718736563206,0.012606953434788348
P9_F6,1.0352359440950627,1.0200628454875853,1.027649394791324,0.007586549303738699
P9_G8,1.024643418918983,1.3894093975648578,1.2070264082419204,0.1823829893229374
P9_G6,1.4018952753351295,1.0334898515205078,1.2176925634278186,0.18420271190731086
P9_H8,1.036502721012023,1.0149743413383185,1.0257385311751708,0.010764189836852234
P9_H6,1.017247949866713,1.036999468821149,1.0271237093439312,0.009875759477217971
P12_A7,1.0387990559793263,0.9663973507261773,1.0025982033527518,0.03620085262657452
P12_A5,0.9669572544602861,1.0070117764224833,0.9869845154413848,0.020027260981098582
P12_B7,1.0087194912729671,1.0514604323674843,1.0300899618202257,0.021370470547258602
P12_C7,1.0551468641921626,1.0161646908538005,1.0356557775229815,0.01949108666918109
P12_C5,1.0198544918491539,1.3038388560099732,1.1618466739295634,0.14199218208040965
P12_D7,1.3138812507505173,1.0018509435580445,1.157866097154281,0.1560151535962364
P12_D5,1.00471829426799,1.0433779443408737,1.0240481193044317,0.019329825036441872
P12_E7,1.0465658879555089,1.031486747892909,1.039026317924209,0.0075395700312999026
P12_F7,1.0340182427423406,1.0327304007439444,1.0333743217431426,0.0006439209991980777
P12_F5,1.0333556571301235,1.0826769778189742,1.0580163174745487,0.024660660344425378
P12_G7,1.0837308915207255,1.0466811918142358,1.0652060416674807,0.018524849853244874
P12_G5,1.0490674038779082,1.0535222362903571,1.0512948200841326,0.002227416206224464
P12_H7,1.0569843821073575,1.0482188413410072,1.0526016117241823,0.0043827703831751386
P12_A8,1.0515644314234174,1.0239557624573283,1.0377600969403729,0.013804334483044522
P12_B8,1.0251583456462954,1.044577294158566,1.0348678199024306,0.009709474256135331
P12_C8,1.0463873386079237,1.0278664745887351,1.0371269065983295,0.009260432009594255
P12_C6,1.0307191583280535,1.3546024315488836,1.1926607949384684,0.16194163661041505
P12_D8,1.3654302826793534,1.0278095025258287,1.196619892602591,0.16881039007676235
P12_D6,1.0300385102069258,1.3338914497904675,1.1819649799986967,0.15192646979177082
P12_E8,1.0638302358694651,1.011013052524456,1.0374216441969606,0.026408591672504533
P12_F8,1.013680017876608,1.0537109000494416,1.0336954589630247,0.02001544108641673
P12_F6,1.057553655632371,0.5604419510279223,0.8089978033301466,0.24855585230222438
P12_G8,0.5437443328717698,1.0370796670744633,0.7904119999731165,0.24666766710134674
P12_H8,1.0418956649836657,1.0267901528342334,1.0343429089089495,0.0075527560747161715
P12_H6,1.027886278667561,1.05411365444179,1.0409999665546756,0.013113687887114422
