BC,s_1,s_2,s_3,average,standard deviation
0,0.0,0.0,0.0,0.0,0.0
1,-0.036702892772945674,-0.03390434644192183,-0.033904119906201464,-0.03483711970702299,0.001319300790310663
2,-0.036702892772945674,-0.03390434644192183,-0.033904119906201464,-0.03483711970702299,0.001319300790310663
3,-0.036702892772945674,-0.03390434644192183,-0.033904119906201464,-0.03483711970702299,0.001319300790310663
50000,1.0692440851869722,0.983226050004186,0.9832194814892444,1.0118965388934675,0.04055083895721185
5,-0.036702892772945674,-0.03390434644192183,-0.033904119906201464,-0.03483711970702299,0.001319300790310663
30000,-0.036702892772945674,-0.03390434644192183,-0.033904119906201464,-0.03483711970702299,0.001319300790310663
10000,-0.036702892772945674,-0.03390434644192183,-0.033904119906201464,-0.03483711970702299,0.001319300790310663
15000,-0.036702892772945674,-0.03390434644192183,-0.033904119906201464,-0.03483711970702299,0.001319300790310663
9,-0.036702892772945674,-0.03390434644192183,-0.033904119906201464,-0.03483711970702299,0.001319300790310663
20000,-0.036702892772945674,-0.03390434644192183,-0.033904119906201464,-0.03483711970702299,0.001319300790310663
11,-0.036702892772945674,-0.03390434644192183,-0.033904119906201464,-0.03483711970702299,0.001319300790310663
12,-0.036702892772945674,-0.03390434644192183,-0.033904119906201464,-0.03483711970702299,0.001319300790310663
13,-0.036702892772945674,-0.03390434644192183,-0.033904119906201464,-0.03483711970702299,0.001319300790310663
14,-0.036702892772945674,-0.03390434644192183,-0.033904119906201464,-0.03483711970702299,0.001319300790310663
15,-0.036702892772945674,-0.03390434644192183,-0.033904119906201464,-0.03483711970702299,0.001319300790310663
2000,-0.036702892772945674,-0.03390434644192183,-0.033904119906201464,-0.03483711970702299,0.001319300790310663
1500,-0.036702892772945674,-0.03390434644192183,-0.033904119906201464,-0.03483711970702299,0.001319300790310663
18,-0.036702892772945674,-0.03390434644192183,-0.033904119906201464,-0.03483711970702299,0.001319300790310663
19,-0.036702892772945674,-0.03390434644192183,-0.033904119906201464,-0.03483711970702299,0.001319300790310663
5000,-0.036702892772945674,-0.03390434644192183,-0.033904119906201464,-0.03483711970702299,0.001319300790310663
40000,-0.036702892772945674,-0.03390434644192183,-0.033904119906201464,-0.03483711970702299,0.001319300790310663
1000,-0.036702892772945674,-0.03390434644192183,-0.033904119906201464,-0.03483711970702299,0.001319300790310663
23,-0.036702892772945674,-0.03390434644192183,-0.033904119906201464,-0.03483711970702299,0.001319300790310663
24,-0.036702892772945674,-0.03390434644192183,-0.033904119906201464,-0.03483711970702299,0.001319300790310663
25,-0.036702892772945674,-0.03390434644192183,-0.033904119906201464,-0.03483711970702299,0.001319300790310663
26,-0.036702892772945674,-0.03390434644192183,-0.033904119906201464,-0.03483711970702299,0.001319300790310663
500,-0.036702892772945674,-0.03390434644192183,-0.033904119906201464,-0.03483711970702299,0.001319300790310663
28,-0.036702892772945674,-0.03390434644192183,-0.033904119906201464,-0.03483711970702299,0.001319300790310663
29,-0.036612044145971676,-0.033904346375510035,-0.033904119817957996,-0.03480683677981323,0.0012764743734094573
