BC,s_1,s_2,s_3,average,standard deviation
0,0.0,0.0,0.0,0.0,0.0
1,0.008778501563796894,0.009268865805399857,0.007247889253579387,0.008431752207592047,0.0008607217486014849
10000,-0.0062841294392680935,0.018278692925265586,0.059811837787697046,0.02393546709123151,0.02727842299193714
3,0.06974835363557205,0.07217361662785529,0.06700333683054996,0.06964176903132577,0.0021121029810756025
4,0.01230791243095711,0.008008601968309414,0.012581007907253142,0.01096584076883989,0.0020940536887920727
15000,-0.0065006755152791414,0.03237376195079698,-0.037471583781085664,-0.0038661657818559437,0.02857503060661155
20000,0.27785946816770113,0.2918543172267327,0.2822413213355347,0.28398503557665616,0.005844904023294522
7,0.07276914369848467,0.07689157108561688,0.07123409634048425,0.07363160370819526,0.002388811848906744
2000,0.2337086787295673,0.2497900300139855,0.23936328275773291,0.24095399716709523,0.006660842991310207
1000,0.17053697990122751,0.1862041824652913,0.1790060644059217,0.17858240892414687,0.006403120178021553
10,0.023714546993990324,0.017568026848736228,0.016349434446060494,0.01921066942959568,0.003223344711864558
11,0.02854620907710836,0.028474836174735514,0.024832710143550884,0.027284585131798253,0.0017339822646715197
50000,0.4419887374198961,0.4336847882531518,0.4341884187338189,0.4366206481356223,0.0038013767539507508
13,0.026552461523128807,0.021643078950378068,0.01947827109278214,0.022557937188763005,0.002959590822896264
14,0.02709617898085707,0.02783843855787051,0.024973117866463567,0.026635911801730385,0.0012141938541784614
15,0.02225046265150162,0.015374314113333796,0.016514227274698666,0.018046334679844695,0.003008972084219055
30000,0.16262415187846138,0.16115188688300666,0.15713666999288536,0.16030423625145115,0.002319051250837088
17,0.025194602720503244,0.024513410177098682,0.022724685063081652,0.024144232653561193,0.001041582879251477
18,0.019135009252876714,0.02167890312571773,0.022529015012648746,0.021114309130414396,0.0014419647612409184
19,0.02361219528894331,0.014894739474854798,0.01568185514796057,0.018062929970586224,0.003937058711851843
500,0.11803906570508893,0.12266926976744194,0.11991369064948872,0.1202073420406732,0.0019016432840074599
5000,0.28432766569506807,0.2767959046688001,0.2802594438116119,0.28046100472516006,0.0030781299669989035
22,0.008460883540658378,0.00803729078584116,0.00814190389084464,0.008213359405781393,0.0001801612674699481
23,0.025250085142496943,0.01965365610658176,0.02365480957062775,0.022852850273235484,0.0023540544491740287
24,0.015375442251078125,0.016505327126279317,0.015864392672092473,0.015915054016483302,0.0004626625023806722
25,0.01928004304837294,0.012991525680976597,0.013003453697247612,0.01509167414219905,0.0029616280590294983
26,0.06305024320172872,0.06421541875246649,0.05757905265168665,0.06161490486862728,0.002893151206297125
40000,0.4371689959566057,0.4425560746166077,0.4377250181039231,0.43915002955904553,0.0024191110430189984
28,0.01301782058372016,0.015482673346026939,0.012162831461165374,0.013554441796970825,0.0014074348487001112
