BC,0,7,14,21,28,35
0,0.036557465057978765,0.039463098976357025,0.034636642904035266,0.028598253419765064,0.02177930816716069,0.014944278527018136
1,0.035681512951265856,0.040515801995317964,0.037405469606225566,0.03248664746236773,0.02602408874867451,0.01878332489408633
40000,0.004589311186407267,0.013115561339071586,0.030475844660241554,0.06661679466016285,0.13431130380260967,0.24398756966825144
3,0.04790719604208796,0.07944385746589405,0.10711477664547364,0.1358618619724272,0.15894489711422732,0.16754131520139717
4,0.03560305456223854,0.04039142950569256,0.03725809792287315,0.032330412712128276,0.025876329283273346,0.01866037610825478
5,0.05194817418507396,0.08217533912289712,0.10569202387621741,0.12787982583115828,0.14271272855855263,0.1434992682833375
2000,0.013337497014812532,0.013258860118322478,0.01071685943987872,0.008148693694198529,0.00571490878822383,0.0036112446954159752
50000,0.017923821925940574,0.0012071267776681133,6.610048402974544e-05,3.4049873915848963e-06,1.6178089292176409e-07,6.925725136692178e-09
8,0.0452425526188038,0.051566043300777534,0.04778702674058987,0.04165962187749142,0.033498201383480065,0.024269116025552522
15000,0.02142714204564901,2.0213116962999938e-08,1.550357382688713e-14,1.1186377394641202e-20,7.444713068159985e-27,4.464088176527627e-33
30000,0.023519014784494766,1.3931325829634484e-08,6.709578936405133e-15,3.0398852926585847e-21,1.2703400122257e-27,4.783095609005778e-34
10000,0.023280563360713553,1.4527384505421883e-08,7.37073622744077e-15,3.5179804405524504e-21,1.5487339654344791e-27,6.143085062449259e-34
12,0.04857329965073109,0.04905422378837589,0.0402795584962334,0.031113732095837312,0.02216768623782352,0.014230328548892751
13,0.0426446664421262,0.041555595304918806,0.03292484861622407,0.024540148031692237,0.016870634675120393,0.010449895982089674
14,0.044674733643059204,0.05062862403658662,0.04665087235791924,0.040437335092322405,0.03233003212040601,0.02328927927222244
15,0.042740127410547564,0.04783137869504921,0.043523065631654145,0.037255051647842256,0.029413839145044213,0.020923992698462606
5000,0.018355023471942258,3.563758204030323e-08,5.625887044574327e-14,8.354739229058902e-20,1.1443941828466237e-25,1.4123576527352402e-31
1000,0.02653213399267296,8.2903837794228e-09,2.1062338161348514e-15,5.03381951031965e-22,1.109659025213315e-28,2.2039805791281574e-35
18,0.04514201818940618,0.048137678951506425,0.041736767789898876,0.03404172764268678,0.02560974322139542,0.01735901820931288
19,0.048337532990287556,0.04834217248236458,0.039309483534878835,0.03006959820030636,0.02121576829178196,0.013487026341165366
20,0.044526046015793436,0.045414210162176435,0.0376616109084901,0.02938090248882146,0.021141325993842497,0.013706469929097152
500,0.009805262507973998,0.012529112997197873,0.013017000430449656,0.012722153318185114,0.011468620512909599,0.009315111195109556
22,0.043634249994618214,0.04215751613803702,0.033117077668759855,0.024473050760463116,0.01668111463736677,0.010244442434732694
23,0.042904585217520164,0.04852409682757059,0.04462114454154823,0.03859962306585751,0.030798266537494946,0.02214092629036027
1500,0.021264795453724793,2.0815334837780435e-08,1.6566664813828344e-14,1.2403546587958933e-20,8.565594889755164e-27,5.329610640346098e-33
25,0.046405557827796734,0.05048739990729553,0.04466069786461275,0.037164399305044386,0.028525258042641388,0.019726877578217842
26,0.03821594899005535,0.04513025219834765,0.0433331604181224,0.039141014810695963,0.032609538296717956,0.02447842787180313
27,0.03667104722432444,0.062464347342966596,0.08651085278149374,0.11271146437784497,0.13544608081667645,0.1466530492349276
28,0.04255566524195318,0.046606159150480435,0.04150101668004529,0.03476428254530903,0.026860163843683896,0.01869865408456687
