BC,s_1,s_2,s_3
0.0,1.0,1.0,1.0
0.0,1.0024874889160063,1.0058376940811136,1.004264852025476
0.0,1.0028018844050077,1.065582965221483,1.069574280226192
0.0,0.999493899172222,1.0066516272289816,1.0061476477278075
0.0,1.0045381806137172,1.065521363544288,1.0664290887904155
0.0,1.001167070264987,1.0105456177122472,1.0080185240000925
0.0,0.9978727716230752,1.007535763200736,1.0056122684821465
0.0,0.9957097196327711,1.0052865580789223,1.002220851550225
0.0,0.9976780421734374,1.0059020335213769,1.002998197031469
0.0,0.9915637714439788,0.9997520196967812,1.0004905884553605
0.0,1.002611686162914,1.0100233277146478,1.0061911528031022
0.0,0.9915665149633937,1.0029308911896793,1.0036488263325591
0.0,1.0044767084918373,1.011604179939517,1.0112758701692968
0.0,0.9973409162731733,1.002274071507669,1.0004319290502204
0.0,0.9966964796010629,1.0014182061853658,0.9988129647115029
0.0,0.9953368787652576,1.0074854154246118,1.0069084714548682
0.0,1.0031671677771083,1.0118894598866952,1.006378959014091
0.0,1.0123115945371572,1.0649028825907672,1.066937784218389
0.0,0.9994142149136201,1.0089484090822884,1.004246142438189
0.0,1.0624396471592903,1.0117358585584983,1.0249014150295228
0.0,1.0921857986078827,1.0577900962834232,1.0693524665278014
0.0,1.1554458682409174,1.1117036828998466,1.1205841916767998
0.0,1.1473667420614242,1.1153550552612836,1.1247302313166831
0.0,1.1566593631185094,1.1196272545755979,1.1355957054485932
0.0,1.1928770918734082,1.1441928499635237,1.1466941129310735
0.0,1.2273516231273895,1.1892356338560157,1.190391313438512
0.0,1.2433611780398672,1.1848741489618047,1.1743855392111386
0.0,1.2899184479906023,1.231377573453483,1.2171805427998175
0.0,1.3232519672440326,1.2564593352929598,1.242900530231063
