BC,0,7,14,21,28,35
0,0.04208738639563032,0.028163180622866633,0.006605829175896146,0.0006408320034947893,5.028902403335082e-05,3.7458090017017928e-06
1,0.040250722207771525,0.029476029131342278,0.007566241026848703,0.0008032719134818129,6.898539467823095e-05,5.623350213131635e-06
2,0.0543141446030575,0.03978837547640518,0.01021681115478019,0.001085039977744646,9.321553031832024e-05,7.601060976048676e-06
1500,0.006522405790404043,0.04092343414029154,0.09000201276535563,0.08186600323492446,0.06023752447153491,0.04207014899617779
4,0.04041167151562866,0.028543552099807187,0.0070668376881603085,0.0007236247799756994,5.993960899872444e-05,4.712569711343376e-06
5,0.05802649330356548,0.0423995091749735,0.010859534951875081,0.0011503575339761487,9.857496144738999e-05,8.017589148255463e-06
15000,0.008183081150509091,0.062299128334036245,0.16625050658939322,0.18349118265659575,0.16382477622541947,0.13883129474265898
5000,0.011065641683406308,0.029859932940518683,0.028243398115027605,0.011048829784308037,0.0034964536800560653,0.0010502257984378825
10000,0.006542443773411952,0.06024172518336745,0.19443332231921906,0.25954651928922295,0.28026694657949397,0.28725788726423884
1000,0.007897915449510906,0.018507891297859916,0.01520257991437107,0.005164744779316134,0.00141936011368892,0.00037023692903727633
10,0.053444117194896223,0.03710222531674019,0.009028506276192986,0.000908663462685251,7.397796622376038e-05,5.716696246593056e-06
11,0.052307618292647136,0.03752151442030692,0.009434343108645235,0.0009811020651557076,8.253323613759348e-05,6.590023532306956e-06
500,0.01257048688737591,0.009603061183731398,0.00257148021584307,0.0002847920712696981,2.551436488258535e-05,2.16962680090061e-06
13,0.04394313615078232,0.030794160425938782,0.007564175250902507,0.0007684683969246843,6.315425301666162e-05,4.926319789255646e-06
14,0.049980793367504744,0.03673471001226915,0.00946380931127423,0.0010083854289622265,8.691591432874289e-05,7.110750683785747e-06
15,0.05108267460060385,0.03456356273713643,0.008197459342370763,0.0008041022101482648,6.380510113062237e-05,4.805548379522433e-06
16,0.048998005662748124,0.03586445575554287,0.00920165573814789,0.0009764250947063731,8.38154430684267e-05,6.828928485715371e-06
17,0.05382218563172166,0.03731810457850843,0.009069716663470822,0.0009116729684236623,7.413044325647133e-05,5.721336913604651e-06
18,0.047172508402512386,0.03486501333480585,0.009032471412655799,0.0009678199523542061,8.388700858468822e-05,6.901416711861435e-06
50000,0.012797196185257959,0.0123426809559978,0.004172727973520996,0.0005834476015720818,6.599268605798163e-05,7.084890772093411e-06
40000,0.001543810201377852,0.011249220448497332,0.028732065235637948,0.030351661872647047,0.025936434198190705,0.02103688668353474
21,0.04501780572841713,0.030084779666087375,0.007047340292110609,0.0006827706837048547,5.351020925643494e-05,3.980538604078263e-06
22,0.050256641800924526,0.03605715141313381,0.00906786940741069,0.0009431707323038736,7.935741916461012e-05,6.3376486971476125e-06
2000,0.0061311809117912145,0.034452711032802424,0.06786073624049221,0.05528215293176864,0.036430362276199585,0.022786910101640016
24,0.05402020883705323,0.03737069454792819,0.009061956540140099,0.0009088328074515446,7.373236732948975e-05,5.677743477099596e-06
25,0.04405130115577717,0.031604043593141395,0.0079477181708838,0.000826634411150678,6.954992450078186e-05,5.55422223312977e-06
30000,0.006520956910442311,0.06675937869780915,0.2395681818639507,0.3555635249521008,0.42689142400374636,0.4864756021070532
27,0.041888418600592676,0.03081405959777655,0.007945473187753137,0.0008473480416750901,7.30997774536266e-05,5.985682633584711e-06
28,0.04914904760467783,0.03469571388037746,0.008585240067669678,0.0008786183619549834,7.273781780144004e-05,5.715624209995238e-06
