BC,s_1,s_2,average,standard deviation
ref6,1.0,1.0,1.0,0.0
ref7,1.0117264200599472,1.0093212528134499,1.0105238364366986,0.0012025836232486542
ref8,0.9972986928354978,0.996647965370575,0.9969733291030364,0.0003253637324613923
ref9,0.9990166283577981,0.9968963277836219,0.99795647807071,0.001060150287088113
ref10,1.0026069832716202,1.000804297349426,1.0017056403105231,0.000901342961097118
P2_A7,0.9958971875369595,0.992845448367039,0.9943713179519993,0.00152586958496026
P3_A7,0.98743804346529,0.984759102084167,0.9860985727747285,0.0013394706905615061
P2_B7,1.0068379103564526,1.0032565099305966,1.0050472101435246,0.0017907002129280425
P3_B7,1.0133614946887024,1.00998903534283,1.011675265015766,0.0016862296729361903
P2_C7,0.9755937747109875,0.9725986567146464,0.974096215712817,0.0014975589981705562
P3_C7,1.0183957895177271,1.0172571735831257,1.0178264815504265,0.0005693079673007029
P2_D7,0.9843035347006078,0.9809920459310736,0.9826477903158407,0.0016557443847671216
P3_D7,0.9445621163320085,0.9404818714145342,0.9425219938732714,0.002040122458737137
P2_E7,1.0104228197871228,1.008221806822902,1.0093223133050124,0.0011005064821103527
P3_E7,1.0165401741687816,1.013552233216896,1.015046203692839,0.0014939704759427963
P2_F7,0.9848350570986009,0.9807951071137491,0.982815082106175,0.002019974992425899
P3_F7,1.0030614157498436,0.999935453676313,1.0014984347130782,0.0015629810367653318
P2_G7,1.0157306097273773,1.0088385204788866,1.012284565103132,0.003446044624245359
P3_G7,0.9766344610870326,0.9718324758303778,0.9742334684587052,0.002400992628327381
P2_H7,1.0248200507664826,1.0215166277164995,1.023168339241491,0.0016517115249915504
P3_H7,0.9957506561999407,0.9926692750146687,0.9942099656073047,0.001540690592636007
P2_A8,0.9975792546887675,0.9952690807876636,0.9964241677382155,0.0011550869505519423
P3_A8,0.9770406078023094,0.9745601874140015,0.9758003976081555,0.0012402101941539345
P2_B8,1.0068470437425288,1.0037368366980184,1.0052919402202736,0.0015551035222551857
P3_B8,1.0105230659052464,1.0065246942831214,1.008523880094184,0.0019991858110625094
P2_C8,0.9736023014345684,0.9707023642419759,0.9721523328382722,0.0014499685962962583
P3_C8,1.0270771831458543,1.0227373842300405,1.0249072836879474,0.0021698994579069097
P2_D8,0.9758806983384235,0.9717796183048121,0.9738301583216178,0.002050540016805713
P3_D8,1.0055945030804359,1.00200523068764,1.0037998668840378,0.0017946361963979696
P2_E8,1.0354277951626347,1.0307019760547151,1.0330648856086748,0.002362909553959791
P3_E8,0.9869647745352683,0.9842235304075101,0.9855941524713892,0.0013706220638791122
P2_F8,1.0273473194991378,1.0227869848607272,1.0250671521799326,0.0022801673192053284
P3_F8,1.0145784908319493,1.0116815183603132,1.0131300045961313,0.0014484862358180584
P2_G8,0.9936983479595914,0.9897690560485403,0.9917337020040659,0.00196464595552559
P3_G8,0.9979694872659529,0.9942795048015012,0.996124496033727,0.0018449912322258677
P2_H8,1.0366580372620893,1.0332678123228933,1.0349629247924912,0.0016951124695979702
P3_H8,1.015601777214384,1.0122506940086249,1.0139262356115044,0.0016755416028795267
P5_A7,1.0424795236013733,1.0375530179015056,1.0400162707514395,0.0024632528499338724
P6_A7,1.0827560550527164,1.0806061996615512,1.0816811273571338,0.0010749276955825948
P5_B7,1.0120036600922364,1.0083986367832132,1.0102011484377247,0.0018025116545116182
P6_B7,0.9401244138901089,0.9383944814235307,0.9392594476568198,0.0008649662332891328
P5_C7,1.0173287343404154,1.0139254565169624,1.0156270954286888,0.0017016389117264774
P6_C7,0.97915930320703,0.9779535781188259,0.9785564406629279,0.0006028625441020785
P5_D7,0.9945544211174978,0.991984578043282,0.9932694995803899,0.0012849215371079081
P6_D7,0.9254749823869141,0.9215065383634657,0.9234907603751898,0.001984222011724157
P5_E7,0.9894477544114614,0.9872951403258339,0.9883714473686476,0.0010763070428137511
P6_E7,0.9595430029736882,0.9530997476122471,0.9563213752929677,0.00322162768072054
P5_F7,1.0037584994351765,1.0014299649150276,1.002594232175102,0.0011642672600744586
P6_F7,0.8844433777861418,0.8806994795149831,0.8825714286505624,0.001871949135579365
P5_G7,0.9791246784635337,0.9775445615378933,0.9783346200007135,0.000790058462820209
P6_G7,0.9785930542515558,0.9501572240805867,0.9643751391660713,0.01421791508548459
P5_H7,1.0198966836978556,1.0159292678601355,1.0179129757789955,0.001983707918860045
P6_H7,0.9054295295286356,0.9006449010997793,0.9030372153142074,0.0023923142144281484
P5_A8,0.9895858023294205,0.9855606557992844,0.9875732290643524,0.0020125732650680406
P6_A8,1.0182788422047453,1.0128728395707751,1.0155758408877602,0.0027030013169850875
P5_B8,0.9926484570757452,0.9898564264627041,0.9912524417692247,0.0013960153065205594
P6_B8,1.0085942193936857,1.0050552219777675,1.0068247206857266,0.0017694987079590607
P5_C8,0.99589934409224,0.9933227719963195,0.9946110580442797,0.0012882860479602742
P6_C8,1.0252623745810443,1.0221916907439201,1.023727032662482,0.0015353419185620831
P5_D8,1.0015760593290466,0.9972930053772933,0.9994345323531699,0.002141526975876662
P6_D8,0.8632710317284474,0.8638668543754423,0.8635689430519449,0.0002979113234974351
P5_E8,1.030244976823309,1.0260692400949059,1.0281571084591075,0.002087868364201606
P6_E8,1.032421628077296,1.0294486573446953,1.0309351427109956,0.0014864853663003608
P5_F8,1.0277226874998031,1.0241121105292066,1.0259173990145047,0.0018052884852982618
P6_F8,0.9583065537757948,0.9578388463069544,0.9580727000413746,0.0002338537344201974
P5_G8,0.9894883472832352,0.9879503146477652,0.9887193309655002,0.0007690163177350162
P6_G8,1.0042731932050764,0.9986062776533515,1.001439735429214,0.0028334577758624135
P6_H8,1.005064799164175,1.0008945293922418,1.0029796642782083,0.002085134885966622
P8_A7,0.9850873200924223,0.9819690862306035,0.9835282031615129,0.0015591169309093766
P8_B7,1.0348255926624883,1.029333875610492,1.0320797341364902,0.0027458585259981794
P8_C7,0.9852832345782103,0.9825002128478033,0.9838917237130068,0.0013915108652035046
P8_D7,0.9962450995088177,0.993998132665346,0.9951216160870818,0.0011234834217358491
P8_E7,1.0266238107762402,1.0220440154047636,1.0243339130905018,0.0022898976857382847
P8_F7,0.9817165298858218,0.9801128352774164,0.9809146825816191,0.0008018473042026852
P8_G7,1.016996104810672,1.01373240859424,1.0153642567024561,0.0016318481082159275
P8_H7,1.015073825589193,1.0119009409564004,1.0134873832727966,0.0015864423163962638
P8_A8,1.0101912287118113,1.0074363482895832,1.0088137885006971,0.0013774402111140782
P9_A8,1.1458218373909048,1.3134949384428862,1.2296583879168956,0.0838365505259907
P8_B8,1.0074739490464188,1.003918832801954,1.0056963909241863,0.0017775581222324588
P9_B8,0.5368564324071419,0.5271609137684803,0.5320086730878111,0.004847759319330791
P8_C8,1.013604939380816,1.0100011786699408,1.0118030590253784,0.0018018803554376017
P8_D8,0.9830349798474323,0.9817559689235908,0.9823954743855116,0.0006395054619207086
P8_E8,0.5895129645616708,1.0278006243751545,0.8086567944684127,0.21914382990674186
P9_E8,1.031720156543088,1.2644759743192486,1.1480980654311683,0.1163779088880803
P8_F8,1.2640108091977622,1.0036895117851976,1.13385016049148,0.1301606487062823
P8_G8,1.0065173887684293,0.9977258382197415,1.0021216134940854,0.004395775274343927
P8_H8,1.0010571829625856,1.0119716616459522,1.006514422304269,0.005457239341683295
P11_A7,1.0148864571128695,1.004413482570766,1.0096499698418178,0.0052364872710517485
P11_B7,1.0097368249951584,0.98947142727367,0.9996041261344142,0.010132698860744194
P11_C7,0.9930041719126305,0.994948986634055,0.9939765792733427,0.0009724073607122463
P11_D7,0.9989742700321971,0.9934123677462007,0.9961933188891989,0.0027809511429982003
P11_E7,0.9960894685205932,1.0067166505745557,1.0014030595475745,0.005313591026981257
P11_F7,1.011649777976986,0.9871030327545627,0.9993764053657743,0.012273372611211641
P11_G7,0.989368961242626,0.9882974681205297,0.9888332146815778,0.000535746561048156
P11_A8,0.9914780836474394,0.9994423175127625,0.995460200580101,0.003982116932661539
P11_B8,1.002097809195896,0.9910281175842346,0.9965629633900653,0.005534845805830746
P11_C8,0.9937810357145965,1.0055615867268959,0.9996713112207463,0.005890275506149678
P11_D8,1.0093593753511172,1.001801099226009,1.0055802372885632,0.0037791380625541438
P11_E8,1.0049599956545292,0.9994984090402068,1.002229202347368,0.0027307933071611945
P11_F8,1.0033234344663697,1.0040976120794372,1.0037105232729036,0.0003870888065337086
P11_G8,1.0093883987593688,0.9728123130496805,0.9911003559045246,0.018288042854844144
