BC,10,20,30
ref6,11476,15422,7166
ref7,9723,12696,6693
ref8,9977,9723,5713
ref9,12445,13070,9733
ref10,11305,12916,9761
P1_H2,1374,1450,1194
P2_H2,1885,1441,932
P1_G2,124,120,0
P2_G2,3149,3639,2619
P1_F2,1895,1709,1245
P2_F2,1362,1911,1614
P1_E2,2469,1869,1177
P2_E2,1247,1689,567
P1_D2,607,509,1322
P2_D2,2280,2355,2346
P1_C2,1374,2000,444
P2_C2,1727,3480,1470
P1_B2,1754,2857,602
P2_B2,1048,1895,948
P1_A2,1609,1419,1219
P2_A2,1836,2355,2840
P1_H1,3402,4700,1453
P2_H1,1285,1516,1679
P1_G1,0,0,172
P2_G1,3664,4947,2183
P1_F1,1011,1136,2468
P2_F1,1825,2439,2119
P1_E1,2338,2321,1345
P2_E1,1219,2188,924
P1_D1,1791,1373,503
P2_D1,1228,933,608
P1_C1,968,913,615
P2_C1,1969,2913,2127
P2_B1,1663,2478,1155
P1_A1,3768,3374,1919
P5_A11,205,227,0
P4_H2,1574,1769,1347
P5_H2,1090,1610,651
P5_B11,500,270,227
P4_G2,1747,2326,521
P5_G2,2120,1205,989
P4_F2,1103,1324,1367
P5_F2,1344,1921,1689
P5_D11,0,373,100
P4_E2,2036,2860,1892
P5_E2,869,1243,1841
P5_E11,0,253,108
P4_D2,2414,2647,1762
P5_D2,1233,1982,845
P5_F11,227,281,0
P4_C2,1203,2339,889
P5_C2,1250,1652,891
P5_G11,0,106,0
P4_B2,2581,3312,2539
P5_B2,1092,551,796
P5_H11,103,0,0
P4_A2,1334,3120,544
P5_A2,2234,1987,1102
P4_H1,2030,1861,606
P4_G1,1433,1975,1001
P5_G1,1101,884,591
P5_C12,218,0,0
P4_F1,2474,2737,2627
P5_F1,615,961,486
P4_E1,2297,2805,1185
P5_E1,1398,2002,406
P4_D1,174,729,0
P5_D1,3364,4175,3648
P4_C1,1491,2383,971
P5_C1,1271,912,654
P4_B1,1136,2040,337
P5_B1,2887,5092,2077
P5_H12,145,187,0
P4_A1,836,1858,243
P5_A1,3307,3557,2417
P8_A11,2970,2524,1802
P7_H2,393,432,378
P8_H2,160,100,0
P8_B11,2366,3163,2693
P7_G2,817,630,697
P8_G2,145,189,0
P8_C11,3002,3536,1026
P7_F2,672,439,267
P8_D11,1963,3014,941
P7_E2,909,1277,130
P8_E2,561,646,240
P8_E11,2204,3612,1501
P7_D2,1276,911,499
P8_D2,276,218,0
P8_F11,1286,2276,1580
P7_C2,917,918,371
P8_C2,420,215,0
P8_G11,3571,4969,2684
P7_B2,392,518,141
P8_B2,270,0,0
P8_H11,1855,3764,1706
P7_A2,1456,1384,281
P8_A2,429,1526,283
P8_A12,1735,1970,1516
P7_H1,765,859,369
P8_B12,3482,3184,883
P7_G1,538,402,335
P8_C12,4342,5408,3387
P7_F1,0,1160,147
P8_D12,1442,1886,1011
P7_E1,1685,1571,604
P8_E1,388,254,299
P8_E12,5109,6806,3741
P7_D1,443,143,112
P8_D1,132,0,0
P8_F12,2883,2011,1765
P7_C1,282,678,626
P8_C1,452,778,158
P8_G12,3527,3016,1494
P7_B1,851,1248,378
P8_H12,3925,3752,1379
P7_A1,647,1239,169
P8_A1,0,324,0
P11_A11,3020,3942,1706
P10_H2,145,0,237
P11_B11,711,971,1037
P10_G2,305,264,121
P11_C11,2922,3540,1540
P10_F2,0,185,0
P11_F2,0,181,0
P11_D11,2358,1985,2641
P10_E2,167,181,136
P11_E11,3143,2968,2887
P10_D2,263,0,0
P11_F11,2752,2685,1221
P11_G11,3813,3319,1608
P10_B2,234,168,348
P11_H11,2745,2615,2110
P10_A2,196,269,0
P10_H1,4176,4050,1779
P11_H1,0,216,0
P11_B12,2288,2897,3381
P10_G1,232,181,0
P11_C12,2780,3629,1830
P10_F1,420,882,423
P11_D12,3901,5683,3258
P10_E1,138,310,0
P11_E12,3462,4502,2600
P11_F12,2844,2648,1100
P10_C1,111,100,0
P11_G12,3192,2881,1810
P10_B1,334,254,0
P10_A1,0,145,204
