BC,7,14,21,28,35
0,2064,0,0,0,0
1,1987,0,0,0,0
2,2535,0,0,0,0
3,1963,0,0,0,0
4,2752,0,0,0,0
5,2473,0,0,0,0
6,2386,0,0,0,0
7,2077,0,0,0,0
8,2448,0,0,0,0
9,2264,0,0,0,0
10,2364,0,0,0,0
11,2438,0,0,0,0
12,2309,0,0,0,0
13,2139,0,0,0,0
14,2351,0,0,0,0
15,2373,0,0,0,0
16,2197,0,0,0,0
17,2140,0,0,0,0
18,2413,0,0,0,0
500,0,0,0,0,0
1000,1157,0,0,0,0
1500,1722,0,1390,0,0
2000,1468,0,1067,0,0
5000,1778,0,1713,0,0
10000,2424,2143,4041,0,1774
15000,3123,3248,8831,1480,5928
30000,3448,4857,14535,2982,9008
40000,1301,1722,7970,2484,11263
50000,6773,11719,67463,29973,139712
