BC,10,20,30
ref6,11928,5958,9729
ref7,13168,7867,9881
ref8,12541,10830,9867
ref9,712,0,0
ref10,22498,9510,12074
P3_A7,256,0,102
P3_B7,1778,2445,3134
P2_C7,0,102,0
P3_C7,1767,1957,1027
P3_E7,890,158,864
P3_F7,142,308,129
P3_G7,2703,622,1594
P3_H7,2268,1165,3575
P2_B8,281,0,181
P3_B8,142,0,0
P3_D8,133,0,767
P3_G8,0,222,0
P6_A7,1446,1008,1387
P5_B7,601,2150,277
P5_C7,1938,716,1545
P6_C7,206,0,103
P5_D7,1390,576,1301
P6_D7,137,273,0
P5_E7,1557,472,2010
P6_F7,1159,800,990
P6_G7,1447,1852,1208
P5_A8,1090,1512,1959
P6_A8,176,0,0
P6_B8,1882,143,385
P5_C8,1419,1114,442
P6_C8,336,593,0
P5_D8,216,0,0
P6_D8,368,429,0
P6_F8,919,1597,563
P5_G8,1277,184,1614
P8_A7,2321,4983,758
P8_B7,505,888,220
P8_C7,1828,1678,635
P8_E7,1449,1665,2229
P8_F7,1560,1458,1813
P9_G7,1975,1335,3532
P8_H7,2270,1783,2264
P8_A8,2218,3075,1109
P8_B8,1118,584,1166
P8_C8,1854,2701,2211
P8_D8,1330,2108,217
P9_F8,1869,962,594
P8_G8,1375,919,680
P8_H8,1222,691,2370
P11_A7,2659,788,587
P11_B7,983,654,196
P12_B7,686,129,1676
P11_C7,1695,777,1738
P11_D7,1309,404,1416
P11_E7,1585,425,1472
P11_F7,1407,645,774
P11_G7,997,2782,680
P11_A8,1480,2647,694
P11_B8,1083,178,2145
P11_C8,2022,961,1569
P11_D8,2149,1604,1150
P11_E8,1783,271,1975
P11_F8,1191,1495,554
P11_G8,1953,474,1479
P11_H8,1775,289,2487
