BC,7,14,21,28,35
0,1710,0,0,0,0
1,1767,0,0,0,0
2,1981,0,0,4610,0
3,1885,0,0,0,0
4,2119,0,0,4938,0
5,2207,0,0,1085,0
6,2182,0,0,1025,0
7,1853,0,0,0,0
8,2247,0,0,0,0
9,2069,0,0,0,0
10,2095,0,0,0,0
11,2066,0,0,0,0
12,2064,0,0,1008,0
13,1970,0,0,0,0
14,1930,0,0,0,0
15,2209,0,0,1094,0
16,2080,0,0,0,0
17,1764,0,0,3472,0
18,2106,0,0,0,0
500,0,0,0,0,0
1000,0,0,0,0,0
1500,1389,1258,1686,1517,0
2000,1128,1088,1629,1484,0
5000,1678,1359,2449,2062,0
10000,2715,3023,6082,4799,1971
15000,3466,4451,13920,25064,6951
30000,4878,7595,23435,18240,11216
40000,1642,2413,14512,16453,15007
50000,8769,20352,114201,181115,164902
